,TCO2 electricity,TCO2 fuel,TCO2 gas,left TCO2
0.0,0.0,3.773922,1.549184,1.2641330000000002
0.25,1.64680975,3.773922,1.16650725,0.0
0.5,3.2936195,3.2936195,0.0,0.0
0.75,4.0,2.5872390000000003,0.0,0.0
1.0,4.0,2.5872390000000003,0.0,0.0
