,TCO2 electricity,TCO2 fuel,TCO2 gas,left TCO2
0.0,0.0,3.773922,1.549184,2.5815808
0.25,1.9761717,3.773922,1.549184,0.6054091000000001
0.5,3.9523434,3.773922,0.17842139999999995,0.0
0.75,4.0,3.773922,0.13076480000000013,0.0
1.0,4.0,3.773922,0.13076480000000013,0.0
