,TCO2 electricity,TCO2 fuel,TCO2 gas,left TCO2
0.0,0.0,2.6348956,0,0.0
0.25,0.6587239,1.9761717,0,0.0
0.5,1.3174478,1.3174478,0,0.0
0.75,1.9761717,0.6587239,0,0.0
1.0,2.6348956,0.0,0,0.0
