Auton_community,Name_organ,Num_empl,Sector_organ,TCO2,Type_organ,Unnamed: 0,Year
"Madrid, Comunidad de","SISTEMAS INFORMÁTICOS ABIERTOS, S.A.",3671.0,S. Otros servicios,184.0,Gran empresa,1211.0,2017.0
"Madrid, Comunidad de","TÉCNICOS ASOCIADOS INFORMÁTICA, S.A.U.",82.0,J. Información y comunicaciones,19.0,Mediana,1212.0,2017.0
Cataluña,"SERVICIOS MICROINFORMÁTICA, S.A.",152.0,J. Información y comunicaciones,80.0,Mediana,1213.0,2017.0
Castilla y León,"AVENET IT, S.L.",46.0,J. Información y comunicaciones,13796.0,Pequeña,1214.0,2017.0
"Madrid, Comunidad de","SUMINISTROS, IMPORTACIONES Y MANTENIMIENTOS ELECTRÓNICOS, S.A.U.",3605.0,S. Otros servicios,285.0,Gran empresa,1215.0,2017.0
"Madrid, Comunidad de",SPHERA DESARROLLO E INNOVACION EN TECNOLOGÍAS DE LA INFORMACIÓN,18.0,J. Información y comunicaciones,14.0,Pequeña,1216.0,2017.0
Andalucía,ASOCIACIÓN PROFESIONAL ANDALUZA DE GESTORES ENERGÉTICOS (APADGE),12.0,"M. Actividades profesionales, científicas y técnicas",1.0,Pequeña,1217.0,2017.0
"Madrid, Comunidad de","I.C.A. INFORMÁTICA Y COMUNICACIONES AVANZADAS, S.L.",171.0,J. Información y comunicaciones,96.0,Mediana,1218.0,2017.0
País Vasco,"NEMIX COMPUTER SPAIN, S.L.",30.0,J. Información y comunicaciones,34.0,Pequeña,1219.0,2017.0
"Rioja, La","CALZADOS ZELS, S.L.",27.0,C. Industria manufacturera,68.0,Pequeña,1220.0,2015.0
"Rioja, La","CALZADOS ZELS, S.L.",22.0,C. Industria manufacturera,61.0,Pequeña,1221.0,2016.0
"Rioja, La","CALZADOS ZELS, S.L.",24.0,C. Industria manufacturera,62.0,Pequeña,1222.0,2017.0
Castilla y León,"GARNICA PLYWOOD VALENCIA DE DON JUAN, S.L.",216.0,C. Industria manufacturera,6730.0,Mediana,1223.0,2017.0
"Rioja, La","GARNICA PLYWOOD FUENMAYOR, S.L.U.",202.0,C. Industria manufacturera,1658.0,Mediana,1224.0,2017.0
"Rioja, La","GARNICA PLYWOOD BAÑOS DE RÍO TOBÍA, S.A.U.",216.0,C. Industria manufacturera,3105.0,Mediana,1225.0,2017.0
Cataluña,"DIMENSION DATA ESPAÑA, S.L.U.",195.0,"M. Actividades profesionales, científicas y técnicas",130.0,Mediana,1226.0,2017.0
Cataluña,"SEIDOR, S.A.",142.0,J. Información y comunicaciones,70.0,Mediana,1227.0,2017.0
"Madrid, Comunidad de","CLECE, S.A.",9555.0,N. Actividades administrativas y servicios auxiliares,42502.0,Gran empresa,1228.0,2017.0
"Madrid, Comunidad de","TALHER, S.A.",6890.0,N. Actividades administrativas y servicios auxiliares,2951.0,Gran empresa,1229.0,2017.0
"Balears, Illes","ALCUDIAMAR, S.L.",160.0,"R. Actividades artísticas, recreativas y de entretenimiento",933.0,Mediana,1230.0,2017.0
"Madrid, Comunidad de","FCC AQUALIA, S.A.",7371.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",164669.0,Gran empresa,1231.0,2017.0
Aragón,"CONTADORES DE AGUA DE ZARAGOZA, S.A.",96.0,C. Industria manufacturera,96.0,Mediana,1232.0,2017.0
Castilla y León,"BODEGA MATARROMERA, S.L.-BODEGA EMINA RIBERA",197.0,C. Industria manufacturera,1552.0,Mediana,1233.0,2017.0
"Rioja, La","BODEGAS Y VIÑEDOS CARLOS MORO, S.L.",84.0,C. Industria manufacturera,70.0,Mediana,1234.0,2017.0
Cataluña,LYRECO ,8216.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,4044.0,Gran empresa,1235.0,2017.0
País Vasco,"PIERBURG, S.A.",877.0,C. Industria manufacturera,218.0,Gran empresa,1236.0,2017.0
Andalucía,INSTALACIONES ELÉCTRICAS FERCASA,20.0,F. Construcción,33.0,Pequeña,1237.0,2017.0
Comunitat Valenciana,"NERCO INFRAESTRUCTURAS, S.L.",21.0,F. Construcción,29.0,Pequeña,1238.0,2017.0
"Balears, Illes",MARINA PALMA CUARENTENA,16.0,"R. Actividades artísticas, recreativas y de entretenimiento",21.0,Pequeña,1239.0,2017.0
"Asturias, Principado de",EMPRESA MUNICIPAL DE SERVICIOS DE MEDIO AMBIENTE URBANO DE GIJÓN S.A. (EMULSA),7461.0,N. Actividades administrativas y servicios auxiliares,4001.0,Gran empresa,1240.0,2017.0
País Vasco,"EUSKALTEL, S.A.",7352.0,J. Información y comunicaciones,10400.0,Gran empresa,1241.0,2017.0
Galicia,"R CABLE Y TELECOMUNICACIONES GALICIA, S.A.U.",6186.0,J. Información y comunicaciones,10301.0,Gran empresa,1242.0,2017.0
"Asturias, Principado de","TELECABLE DE ASTURIAS, S.A.U.",4149.0,J. Información y comunicaciones,2377.0,Gran empresa,1243.0,2017.0
Comunitat Valenciana,"L'ANTIC COLONIAL, S.A.",159.0,F. Construcción,324.0,Mediana,1244.0,2017.0
Comunitat Valenciana,IN SIDE LOGISTICS,60.0,H. Transporte y almacenamiento,182.0,Mediana,1245.0,2017.0
Galicia,"METAL FERROL, S.A.L.",19.0,C. Industria manufacturera,36.0,Pequeña,1246.0,2017.0
"Madrid, Comunidad de","INFOREIN, S.A.",200.0,S. Otros servicios,311.0,Mediana,1247.0,2017.0
"Murcia, Región de",AMBULANCIAS DE LORCA S.COOP.,239.0,Q. Actividades sanitarias y de servicios sociales,846.0,Mediana,1248.0,2017.0
Comunitat Valenciana,"KONDA INGENIEROS, S.L.P.",5.0,"M. Actividades profesionales, científicas y técnicas",7.0,Micro,1249.0,2017.0
Andalucía,"GIMASUR AMBIENTAL, S.L.",1.0,N. Actividades administrativas y servicios auxiliares,5.0,Micro,1250.0,2016.0
Andalucía,"GIMASUR AMBIENTAL, S.L.",1.0,N. Actividades administrativas y servicios auxiliares,6.0,Micro,1251.0,2017.0
"Madrid, Comunidad de","ALSA GRUPO, S.L.U.",9636.0,H. Transporte y almacenamiento,287802.0,Gran empresa,1252.0,2017.0
"Madrid, Comunidad de","UNISYS, S.L.U.",214.0,J. Información y comunicaciones,261.0,Mediana,1253.0,2017.0
"Madrid, Comunidad de","INTERURBANA DE AUTOBUSES, S.A.",4492.0,H. Transporte y almacenamiento,19856.0,Gran empresa,1254.0,2017.0
Andalucía,"DAMAS, S.A.",3731.0,H. Transporte y almacenamiento,14131.0,Gran empresa,1255.0,2017.0
"Madrid, Comunidad de",GRUPO ELECNOR,6173.0,F. Construcción,66285.0,Gran empresa,1256.0,2017.0
"Madrid, Comunidad de",ENDESA ESPAÑA,6466.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",58524690.0,Gran empresa,1257.0,2017.0
"Madrid, Comunidad de","ACCIONA, S.A.",9058.0,K. Actividades financieras y de seguros,63241.0,Gran empresa,1258.0,2017.0
"Madrid, Comunidad de","SOFTWARE AG ESPAÑA, S.A.",1730.0,J. Información y comunicaciones,442.0,Gran empresa,1259.0,2017.0
"Madrid, Comunidad de","ALHAMBRA SYSTEMS, S.A.",179.0,J. Información y comunicaciones,102.0,Mediana,1260.0,2017.0
"Murcia, Región de","EXTRUSIONADOS Y TRATAMIENTOS DEL COLOR, S.A.",236.0,C. Industria manufacturera,11005389.0,Mediana,1261.0,2017.0
"Murcia, Región de","HARINERA MEDITERRÁNEA, S.A.",201.0,C. Industria manufacturera,849.0,Mediana,1262.0,2017.0
Comunitat Valenciana,"AVANQUA OCEANOGRÀFIC, S.L.",239.0,"R. Actividades artísticas, recreativas y de entretenimiento",13849.0,Mediana,1263.0,2017.0
Cataluña,"SAYTEL SERVICIOS INFORMATICOS, S.A.",156.0,J. Información y comunicaciones,86.0,Mediana,1264.0,2017.0
"Balears, Illes",VARADERO IBIZA,38.0,S. Otros servicios,45.0,Pequeña,1265.0,2017.0
Cataluña,"INTERNACIONAL PERIFÉRICOS Y MEMORIAS ESPAÑA, S.L.U.",240.0,J. Información y comunicaciones,5060.0,Mediana,1266.0,2017.0
"Balears, Illes",SERVEIS MARÍTIMS PORT EIVISSA S.L. (Marina Ibiza),33.0,"R. Actividades artísticas, recreativas y de entretenimiento",119.0,Pequeña,1267.0,2017.0
"Madrid, Comunidad de","ESTUDIOS MEDIOAMBIENTALES, S.L.",9.0,"M. Actividades profesionales, científicas y técnicas",25.0,Micro,1268.0,2017.0
Aragón,"SUELO Y VIVIENDA DE ARAGON, S.L.U.",31.0,L. Actividades inmobiliarias,53.0,Pequeña,1269.0,2017.0
"Madrid, Comunidad de","INDRA SISTEMAS, S.A.",7606.0,S. Otros servicios,18175.0,Gran empresa,1270.0,2017.0
"Madrid, Comunidad de","COGNICASE MANAGEMENT CONSULTING, S.L.",1116.0,J. Información y comunicaciones,44.0,Gran empresa,1271.0,2017.0
País Vasco,"PREOCA SERVICIOS MEDIOAMBIENTALES, S.L.",6.0,"M. Actividades profesionales, científicas y técnicas",7.0,Micro,1272.0,2016.0
País Vasco,"PREOCA SERVICIOS MEDIOAMBIENTALES, S.L.",8.0,"M. Actividades profesionales, científicas y técnicas",10.0,Micro,1273.0,2017.0
Castilla y León,"FORESTACIÓN Y REPOBLACIÓN, S.A.",119.0,"A. Agricultura, ganadería, silvicultura y pesca",364.0,Mediana,1274.0,2017.0
"Madrid, Comunidad de","LLORENTE BUS, S.L.",1653.0,H. Transporte y almacenamiento,2466.0,Gran empresa,1275.0,2017.0
País Vasco,"ZORELOR, S.A.",91.0,C. Industria manufacturera,100.0,Mediana,1276.0,2017.0
"Balears, Illes","SERVICIOS TÉCNICOS PORTUARIOS, S.L.",201.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,294.0,Mediana,1277.0,2017.0
"Balears, Illes","ALCUDIAMAR, S.L.",113.0,"R. Actividades artísticas, recreativas y de entretenimiento",645.0,Mediana,1278.0,2014.0
Andalucía,"SEMAT, CAMPA LA RODA DE ANDALUCÍA",14.0,H. Transporte y almacenamiento,150.0,Pequeña,1279.0,2017.0
Cataluña,"TRANSERVI, TALLER DE PORTBOU",16.0,H. Transporte y almacenamiento,89.0,Pequeña,1280.0,2017.0
"Madrid, Comunidad de",FRATERNIDAD-MUPRESPA,9548.0,O. Administración Pública y defensa; Seguridad Social obligatoria,4333.0,Gran empresa,1281.0,2017.0
"Madrid, Comunidad de","ALAUDA INGENIERÍA, S.A.",98.0,"M. Actividades profesionales, científicas y técnicas",26.0,Mediana,1282.0,2017.0
"Madrid, Comunidad de","ALGORITMOS, PROCESOS Y DISEÑOS, S.A.",205.0,J. Información y comunicaciones,176.0,Mediana,1283.0,2017.0
"Madrid, Comunidad de","ALDESA CONSTRUCCIONES, S.A.",4086.0,F. Construcción,2194.0,Gran empresa,1284.0,2017.0
"Madrid, Comunidad de","PROACON, S.A.",47.0,F. Construcción,538.0,Pequeña,1285.0,2017.0
"Madrid, Comunidad de","AERONAVAL DE CONSTRUCCIONES E INSTALACIONES, S.A.",2767.0,F. Construcción,1008.0,Gran empresa,1286.0,2017.0
"Madrid, Comunidad de","ALDESA  ENERGÍAS RENOVABLES, S.L.U.",160.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",247.0,Mediana,1287.0,2017.0
"Madrid, Comunidad de","COALVI, S.A.",203.0,F. Construcción,786.0,Mediana,1288.0,2017.0
"Madrid, Comunidad de","ALDESA  HOME, S.A.",18.0,L. Actividades inmobiliarias,14.0,Pequeña,1289.0,2017.0
"Madrid, Comunidad de","GRUPO ALDESA, S.A.",79.0,F. Construcción,68.0,Mediana,1290.0,2017.0
Castilla - La Mancha,"IBÉRICA DE CONCESIONES Y SERVICIOS, S.A.U.",47.0,H. Transporte y almacenamiento,3748.0,Pequeña,1291.0,2017.0
"Madrid, Comunidad de","MOSAMO, S.L.U.",35.0,H. Transporte y almacenamiento,1214.0,Pequeña,1292.0,2017.0
"Balears, Illes",MARINA PORT DE MALLORCA,38.0,"R. Actividades artísticas, recreativas y de entretenimiento",584.0,Pequeña,1293.0,2017.0
Castilla y León,"CALIDAD PASCUAL, S.A.U.",7453.0,C. Industria manufacturera,49309.0,Gran empresa,1294.0,2017.0
"Murcia, Región de","AUXILIAR CONSERVERA, S.A.",231.0,C. Industria manufacturera,6439.0,Mediana,1295.0,2017.0
"Murcia, Región de","FRANCISCO ARAGÓN, S.L.",2656.0,C. Industria manufacturera,1380.0,Gran empresa,1296.0,2017.0
Aragón,"ESTUDIOS ZARAGOZA, S.L.",28.0,P. Educación,14.0,Pequeña,1297.0,2017.0
Aragón,"MENTORIZA, S.L.",24.0,P. Educación,8.0,Pequeña,1298.0,2017.0
Aragón,UNIVERSIDAD SAN JORGE,234.0,P. Educación,713.0,Mediana,1299.0,2017.0
Andalucía,"GRUPO INTEGRAL INNOVACIÓN TECNOLÓGICA, S.L.",171.0,"M. Actividades profesionales, científicas y técnicas",72.0,Mediana,1300.0,2017.0
Comunitat Valenciana,"ESDAL, S.L.",9.0,F. Construcción,35391.0,Micro,1301.0,2017.0
Comunitat Valenciana,"CONSULTORES DE INFRAESTRUCTURAS Y MEDIO AMBIENTE, CIMA, S.L.",1.0,"M. Actividades profesionales, científicas y técnicas",1.0,Micro,1302.0,2017.0
"Madrid, Comunidad de","API MOVILIDAD, S.A.",4543.0,F. Construcción,6844.0,Gran empresa,1303.0,2017.0
"Madrid, Comunidad de","IMES API, S.A.",3731.0,F. Construcción,1972.0,Gran empresa,1304.0,2017.0
"Murcia, Región de","LIMCAMAR, S.L.",4937.0,S. Otros servicios,540.0,Gran empresa,1305.0,2017.0
Castilla y León,"GRUPO LINCE ASPRONA, S.L.U.",8158.0,H. Transporte y almacenamiento,143297.0,Gran empresa,1306.0,2017.0
Comunitat Valenciana,"URBANISTAS INGENIEROS, S.A.",33.0,"M. Actividades profesionales, científicas y técnicas",19.0,Pequeña,1307.0,2017.0
"Madrid, Comunidad de",NATURGY,9259.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",163649567.0,Gran empresa,1308.0,2017.0
"Madrid, Comunidad de","GESOR GESTIÓN Y ORGANIZACIÓN PARA EMPRESAS, S.L.",21.0,"M. Actividades profesionales, científicas y técnicas",12.0,Pequeña,1309.0,2017.0
Galicia,"AUTOMOVILES Y MOTORES EUROPEOS, S.A.U.",36.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,61.0,Pequeña,1310.0,2016.0
Comunitat Valenciana,"HIGIENISA, S.L.",24.0,Q. Actividades sanitarias y de servicios sociales,37.0,Pequeña,1311.0,2017.0
Comunitat Valenciana,"EMPRESA MIXTA AIGÜES DE L´HORTA, S.A.",57.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",101.0,Mediana,1312.0,2017.0
"Madrid, Comunidad de","URBASER, S.A.",9625.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",3087931.0,Gran empresa,1313.0,2017.0
"Asturias, Principado de",GRUPO LACERA,1761.0,N. Actividades administrativas y servicios auxiliares,529.0,Gran empresa,1314.0,2017.0
Canarias,"SISTEMA INGENIERÍA, S.A.",15.0,"M. Actividades profesionales, científicas y técnicas",4.0,Pequeña,1315.0,2017.0
"Madrid, Comunidad de","EQUIPOS INDUSTRIALES DE MANUTENCIÓN, S.A. (EINSA)",175.0,C. Industria manufacturera,664.0,Mediana,1316.0,2017.0
"Madrid, Comunidad de","EQUIPOS INDUSTRIALES DE MANUTENCIÓN, S.A. (EINSA)",183.0,C. Industria manufacturera,612.0,Mediana,1317.0,2016.0
Comunitat Valenciana,COLEGIO LA MAGDALENA,40.0,P. Educación,67.0,Pequeña,1318.0,2017.0
"Madrid, Comunidad de","GMV SOLUCIONES GLOBALES INTERNET, S.A.U.",3038.0,J. Información y comunicaciones,788.0,Gran empresa,1319.0,2017.0
"Madrid, Comunidad de","GMV AEROSPACE ANDE DEFENCE, S.A.U.",3607.0,J. Información y comunicaciones,1690.0,Gran empresa,1320.0,2017.0
"Madrid, Comunidad de","GMV INNOVATING SOLUTIONS, S.L.",1742.0,J. Información y comunicaciones,343.0,Gran empresa,1321.0,2017.0
"Madrid, Comunidad de","GMV SEGURIDAD INTEGRAL, S.A.U.",1965.0,F. Construcción,788.0,Gran empresa,1322.0,2017.0
"Madrid, Comunidad de","GRUPO MECÁNICA DE VUELO SISTEMAS, S.A.U.",4420.0,"M. Actividades profesionales, científicas y técnicas",630.0,Gran empresa,1323.0,2017.0
"Madrid, Comunidad de","FCC CONSTRUCCIÓN, S.A.",6400.0,F. Construcción,64743.0,Gran empresa,1324.0,2017.0
"Madrid, Comunidad de","EVERIS SPAIN, S.L.",6458.0,J. Información y comunicaciones,9250.0,Gran empresa,1325.0,2017.0
Comunitat Valenciana,"CEBOLLAS TARA, S.L.",204.0,C. Industria manufacturera,927.0,Mediana,1326.0,2017.0
"Madrid, Comunidad de","AVALON TECNOLOGÍAS DE LA INFORMACIÓN, S.L.",77.0,J. Información y comunicaciones,21.0,Mediana,1327.0,2017.0
Comunitat Valenciana,"COORDINACIÓN DE SEGURIDAD Y PREVENCIÓN EN LA CONSTRUCCIÓN, S.L.P.",9.0,"M. Actividades profesionales, científicas y técnicas",23.0,Micro,1328.0,2017.0
Canarias,"FRED. OLSEN, S.A. (FRED OLSEN EXPRESS)",8881.0,H. Transporte y almacenamiento,178775.0,Gran empresa,1329.0,2017.0
"Madrid, Comunidad de",REAL CLUB DE GOLF LA HERRERÍA,39.0,"R. Actividades artísticas, recreativas y de entretenimiento",282.0,Pequeña,1330.0,2017.0
"Madrid, Comunidad de","COMPUSOF, S.A.",110.0,J. Información y comunicaciones,32.0,Mediana,1331.0,2018.0
País Vasco,"EKOTEK INGENIERÍA Y CONSULTORÍA MEDIOAMBIENTAL, S.L.",1.0,"M. Actividades profesionales, científicas y técnicas",1.0,Micro,1332.0,2017.0
País Vasco,"INKOA SISTEMAS, S.L.",19.0,"M. Actividades profesionales, científicas y técnicas",7.0,Pequeña,1333.0,2017.0
Aragón,ASOCIACIÓN CULTURAL SOBRARBE,9.0,S. Otros servicios,154.0,Micro,1334.0,2017.0
Castilla y León,SELECTOS DE CASTILLA,28.0,C. Industria manufacturera,89.0,Pequeña,1335.0,2017.0
"Madrid, Comunidad de","SAGLAS OBRAS Y SERVICIOS, S.A.",125.0,F. Construcción,149.0,Mediana,1336.0,2017.0
Castilla - La Mancha,"CONSTRUCCIONES GISMERO, S.A.U.",198.0,F. Construcción,827.0,Mediana,1337.0,2017.0
Castilla - La Mancha,BODEGA MONT REAGA,8.0,C. Industria manufacturera,180.0,Micro,1338.0,2017.0
"Murcia, Región de",ELECTROMUR,143.0,F. Construcción,193.0,Mediana,1339.0,2017.0
"Murcia, Región de","EMURTEL, S.A.",172.0,F. Construcción,504.0,Mediana,1340.0,2017.0
"Murcia, Región de",MURTRAFIC,35.0,F. Construcción,106.0,Pequeña,1341.0,2017.0
"Madrid, Comunidad de","SERVICIOS LOGÍSTICOS DE COMBUSTIBLE DE AVIACIÓN, S.L.",97.0,H. Transporte y almacenamiento,1552.0,Mediana,1342.0,2017.0
Andalucía,"EIFFAGE INFRAESTRUCTURAS, S.A.",3218.0,F. Construcción,3122.0,Gran empresa,1343.0,2017.0
Comunitat Valenciana,"TEXTILS MORA, S.A.L.",213.0,C. Industria manufacturera,3081.0,Mediana,1344.0,2014.0
"Murcia, Región de","SOLTEC ENERGÍAS RENOVABLES, S.L.",678.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",84.0,Gran empresa,1345.0,2016.0
"Murcia, Región de","CONSTRUCCIONES INIESTA, S.L.U.",144.0,F. Construcción,257.0,Mediana,1346.0,2017.0
"Madrid, Comunidad de","HUAWEI TECHNOLOGIES ESPAÑA, S.L.",5125.0,J. Información y comunicaciones,2146.0,Gran empresa,1347.0,2017.0
Aragón,"SPHERE GROUP SPAIN, S.L.",238.0,C. Industria manufacturera,7576.0,Mediana,1348.0,2017.0
"Murcia, Región de","SOLTEC ENERGÍAS RENOVABLES, S.L.",1000.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",61.0,Gran empresa,1349.0,2017.0
"Murcia, Región de","PUJANTE EXPLOTACIÓN AGRÍCOLA, S.L.",34.0,"A. Agricultura, ganadería, silvicultura y pesca",227.0,Pequeña,1350.0,2017.0
Castilla y León,"DISCOMTES ENERGÍA, S.L.",218.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,497.0,Mediana,1351.0,2018.0
"Murcia, Región de","AGRIMUR EXPLOTACIONES, S.L.",47.0,"A. Agricultura, ganadería, silvicultura y pesca",537.0,Pequeña,1352.0,2017.0
"Murcia, Región de","TRANSFORMACIONES Y EXPLOTACIONES AGRICOLAS, S.L.",41.0,"A. Agricultura, ganadería, silvicultura y pesca",327.0,Pequeña,1353.0,2017.0
Canarias,ARONA GRAN HOTEL & UP!,235.0,I. Hostelería,1888.0,Mediana,1354.0,2017.0
Comunitat Valenciana,"TEXTILS MORA, S.A.L.",214.0,C. Industria manufacturera,3042.0,Mediana,1355.0,2015.0
País Vasco,"BILBOMÁTICA, S.A.",988.0,J. Información y comunicaciones,88.0,Gran empresa,1356.0,2017.0
Castilla y León,"HIJOS DE ALBERTO GUTIÉRREZ, S.A.",41.0,C. Industria manufacturera,280.0,Pequeña,1357.0,2017.0
"Madrid, Comunidad de","KONICA MINOLTA BUSINESS SOLUTIONS SPAIN, S.A.",2970.0,J. Información y comunicaciones,569.0,Gran empresa,1358.0,2018.0
Aragón,"MARGALEJO CAMPO, S.L.",44.0,F. Construcción,284.0,Pequeña,1359.0,2017.0
Andalucía,BODEGA GONZÁLEZ BYASS JEREZ S.L.U. NÚCLEO LAS COPAS,1729.0,C. Industria manufacturera,952.0,Gran empresa,1360.0,2017.0
Aragón,"VIÑAS DEL VERO, S.A.",1504.0,C. Industria manufacturera,1163.0,Gran empresa,1361.0,2017.0
Andalucía,"TEKNOSERVICE, S.L.",98.0,C. Industria manufacturera,91.0,Mediana,1362.0,2017.0
Comunitat Valenciana,"TEXTILS MORA, S.A.L.",200.0,C. Industria manufacturera,1968.0,Mediana,1363.0,2016.0
Aragón,"IMPRESA NORTE, S.L.U.",47.0,C. Industria manufacturera,1523.0,Pequeña,1364.0,2017.0
Comunitat Valenciana,"TEXTILS MORA, S.A.L.",206.0,C. Industria manufacturera,1461.0,Mediana,1365.0,2017.0
Cataluña,"FUTURECO BIOSCIENCE, S.A.",35.0,C. Industria manufacturera,170.0,Pequeña,1366.0,2017.0
País Vasco,"ASFALTIA, S.L.",4165.0,F. Construcción,2127.0,Gran empresa,1367.0,2017.0
"Balears, Illes",ARABELLA GOLF MALLORCA,177.0,"R. Actividades artísticas, recreativas y de entretenimiento",957.0,Mediana,1368.0,2016.0
"Balears, Illes",ARABELLA GOLF MALLORCA,177.0,"R. Actividades artísticas, recreativas y de entretenimiento",1010.0,Mediana,1369.0,2017.0
Comunitat Valenciana,"DOALCO, S.A.",28.0,F. Construcción,84.0,Pequeña,1370.0,2017.0
"Madrid, Comunidad de","FATECSA OBRAS, S.A.",193.0,F. Construcción,648.0,Mediana,1371.0,2017.0
"Rioja, La","CALZADOS ROBUSTA, S.L.",161.0,C. Industria manufacturera,353.0,Mediana,1372.0,2018.0
"Madrid, Comunidad de",REAL CLUB DE GOLF LA HERRERÍA,35.0,"R. Actividades artísticas, recreativas y de entretenimiento",270.0,Pequeña,1373.0,2018.0
"Rioja, La","CALZADOS ZELS, S.L.",26.0,C. Industria manufacturera,66.0,Pequeña,1374.0,2018.0
Castilla - La Mancha,CENTRO COMERCIAL LOS ALFARES,235.0,N. Actividades administrativas y servicios auxiliares,823.0,Mediana,1375.0,2017.0
"Madrid, Comunidad de","FERROVIAL CORPORACIÓN, S.A.",8452.0,F. Construcción,317746.0,Gran empresa,1376.0,2018.0
Andalucía,"CLAN TECNOLÓGICA, S.L.",15.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,15.0,Pequeña,1377.0,2018.0
Andalucía,"GUAMAR, S.A.",56.0,F. Construcción,23.0,Mediana,1378.0,2018.0
Cataluña,FUNDACIÓN PUEBLO PARA PUEBLO,921.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",474.0,Gran empresa,1379.0,2018.0
"Madrid, Comunidad de","CANON MEDICAL SYSTEMS, S.A.",188.0,S. Otros servicios,299.0,Mediana,1380.0,2018.0
Castilla y León,"GABINETE DE ESTUDIOS AMBIENTALES Y AGRONÓMICOS. INGENIEROS, S.L.",8.0,"M. Actividades profesionales, científicas y técnicas",12.0,Micro,1381.0,2018.0
Andalucía,SAT 9934 EXPORT SURFRUIT,112.0,C. Industria manufacturera,117.0,Mediana,1382.0,2018.0
Cantabria,"EQUIPOS NUCLEARES, S.A.,S.M.E.",4414.0,C. Industria manufacturera,3695.0,Gran empresa,1383.0,2017.0
"Madrid, Comunidad de","AFYC CALIDAD Y MEDIO AMBIENTE, S.L.",36.0,"M. Actividades profesionales, científicas y técnicas",29.0,Pequeña,1384.0,2018.0
Andalucía,"GIMASUR AMBIENTAL, S.L.",1.0,N. Actividades administrativas y servicios auxiliares,6.0,Micro,1385.0,2018.0
País Vasco,"PREOCA SERVICIOS MEDIOAMBIENTALES, S.L.",7.0,"M. Actividades profesionales, científicas y técnicas",8.0,Micro,1386.0,2018.0
"Murcia, Región de",UTE OPERACIÓN TRANVÍA DE MURCIA,85.0,H. Transporte y almacenamiento,1035.0,Mediana,1387.0,2018.0
Comunitat Valenciana,"UBESOL, S.L.",178.0,C. Industria manufacturera,672.0,Mediana,1388.0,2015.0
Comunitat Valenciana,"UBESOL, S.L.",159.0,C. Industria manufacturera,482.0,Mediana,1389.0,2016.0
Comunitat Valenciana,"UBESOL, S.L.",114.0,C. Industria manufacturera,167.0,Mediana,1390.0,2017.0
"Rioja, La",MANAGEMENT PLUS CONSULTING S.L.U.,3.0,S. Otros servicios,4.0,Micro,1391.0,2018.0
"Rioja, La","ACMA SOSTENIBLE, S.L.",4.0,"M. Actividades profesionales, científicas y técnicas",4.0,Micro,1392.0,2017.0
"Rioja, La","ACMA SOSTENIBLE, S.L.",1.0,"M. Actividades profesionales, científicas y técnicas",2.0,Micro,1393.0,2018.0
Comunitat Valenciana,SOM CONSULTORES S.C.,1.0,"M. Actividades profesionales, científicas y técnicas",2.0,Micro,1394.0,2018.0
"Madrid, Comunidad de","BUROKOPY, S.L.",31.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,34.0,Pequeña,1395.0,2018.0
"Madrid, Comunidad de",IDEAS GRÁFICAS RV,1.0,C. Industria manufacturera,7.0,Micro,1396.0,2017.0
Galicia,"AUTO INDUSTRIAL, S.A.",45.0,H. Transporte y almacenamiento,2782.0,Pequeña,1397.0,2018.0
Galicia,"EMPRESA MONFORTE, S.A.",183.0,H. Transporte y almacenamiento,5985.0,Mediana,1398.0,2018.0
Galicia,"AUTOBUSES DE PONTEVEDRA, S.A.",26.0,H. Transporte y almacenamiento,703.0,Pequeña,1399.0,2018.0
Galicia,"ALCALABUS, S.L.",138.0,H. Transporte y almacenamiento,4254.0,Mediana,1400.0,2018.0
Aragón,"MARGALEJO CAMPO, S.L.",47.0,F. Construcción,460.0,Pequeña,1401.0,2018.0
"Murcia, Región de","STV GESTIÓN, S.L.",5790.0,N. Actividades administrativas y servicios auxiliares,2470.0,Gran empresa,1402.0,2018.0
Comunitat Valenciana,"IDAI NATURE, S.L.",94.0,C. Industria manufacturera,105.0,Mediana,1403.0,2018.0
Andalucía,SAT 0039 SÍNTESIS,218.0,C. Industria manufacturera,2753.0,Mediana,1404.0,2018.0
