Auton_community,Name_organ,Num_empl,Sector_organ,TCO2,Type_organ,Unnamed: 0,Year
"Madrid, Comunidad de","FUJITSU TECHNOLOGY SOLUTIONS, S.A.",247.0,J. Información y comunicaciones,3985.0,Mediana,45.0,2013.0
"Madrid, Comunidad de","MAN ENERGY SOLUTIONS ESPAÑA, S.A.U.",105.0,S. Otros servicios,27.0,Mediana,46.0,2013.0
"Madrid, Comunidad de","AROLA, ADUANAS Y CONSIGNACIONES, S.L.",53.0,H. Transporte y almacenamiento,227.0,Mediana,47.0,2013.0
"Madrid, Comunidad de",SOCIEDAD ESTATAL DE CORREOS Y TELÉGRAFOS,9314.0,H. Transporte y almacenamiento,223585.0,Gran empresa,48.0,2013.0
Andalucía,ALEJANDRO SÁNCHEZ REMBADO,1.0,"M. Actividades profesionales, científicas y técnicas",2.0,Micro,49.0,2013.0
"Madrid, Comunidad de","SINCEO2, CONSULTORÍA ENERGÉTICA",18.0,"M. Actividades profesionales, científicas y técnicas",7.0,Pequeña,50.0,2013.0
País Vasco,"FACTOR IDEAS INTEGRAL SERVICES, S.L.",42.0,"M. Actividades profesionales, científicas y técnicas",88.0,Pequeña,51.0,2011.0
País Vasco,"FACTOR IDEAS INTEGRAL SERVICES, S.L.",46.0,"M. Actividades profesionales, científicas y técnicas",142.0,Pequeña,52.0,2012.0
País Vasco,"FACTOR IDEAS INTEGRAL SERVICES, S.L.",48.0,"M. Actividades profesionales, científicas y técnicas",128.0,Pequeña,53.0,2013.0
"Madrid, Comunidad de",MAHOU SAN MIGUEL,9867.0,C. Industria manufacturera,100623.0,Gran empresa,54.0,2011.0
"Madrid, Comunidad de",MAHOU SAN MIGUEL,8713.0,C. Industria manufacturera,64827.0,Gran empresa,55.0,2012.0
Castilla y León,VENTA EL COLMENAR,5.0,I. Hostelería,33.0,Micro,56.0,2013.0
País Vasco,"QUINCENA MUSICAL, S.A.",12.0,"R. Actividades artísticas, recreativas y de entretenimiento",4.0,Pequeña,57.0,2013.0
"Madrid, Comunidad de","CAVALA GAE, S.L.",10.0,"M. Actividades profesionales, científicas y técnicas",2.0,Pequeña,58.0,2013.0
"Madrid, Comunidad de",GRUPO OHL,9438.0,F. Construcción,539054.0,Gran empresa,59.0,2010.0
"Madrid, Comunidad de",GRUPO OHL,9781.0,F. Construcción,6028935.0,Gran empresa,60.0,2013.0
"Madrid, Comunidad de","URBASER, S.A.",8930.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2925142.0,Gran empresa,61.0,2013.0
Castilla y León,PRONISA PLENA INCLUSIÓN ÁVILA,119.0,Q. Actividades sanitarias y de servicios sociales,232.0,Mediana,62.0,2013.0
Comunitat Valenciana,"FOMENTO BENICASIM, S.A.",81.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",337.0,Mediana,63.0,2013.0
Castilla y León,"AGUAS DE VALLADOLID, S.A",196.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",8546.0,Mediana,64.0,2013.0
Canarias,"EWASTE CANARIAS, S.L.",48.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",113230.0,Pequeña,65.0,2013.0
"Madrid, Comunidad de",FUNDACIÓN BIODIVERSIDAD,74.0,"M. Actividades profesionales, científicas y técnicas",20.0,Mediana,66.0,2013.0
Canarias,FUNDACIÓN CANARIA PARA EL RECICLAJE Y DESARROLLO SOSTENIBLE (FUNDACIÓN CANARIAS RECICLA),9.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",221.0,Micro,67.0,2013.0
